[2024-09-17T20:32:56.816Z] User: vngchrome (ID: 196901285071552513) | Command: scoreboard | Result: Success
[2024-09-17T20:33:32.798Z] User: vngchrome (ID: 196901285071552513) | Command: rolldice | Result: Error: Unknown interaction
[2024-09-17T20:38:23.160Z] User: vngchrome (ID: 196901285071552513) | Command: scoreboard | Result: Success
[2024-09-17T20:38:51.770Z] User: vngchrome (ID: 196901285071552513) | Command: leaveteam | Result: Success
[2024-09-17T20:38:59.302Z] User: vngchrome (ID: 196901285071552513) | Command: create_team | Changes: Added team blue
[2024-09-17T20:38:59.447Z] User: vngchrome (ID: 196901285071552513) | Command: create_team | Result: Success
[2024-09-17T20:40:57.396Z] User: vngchrome (ID: 196901285071552513) | Command: scoreboard | Result: Success
[2024-09-17T20:41:07.939Z] User: vngchrome (ID: 196901285071552513) | Command: submitverification | Changes: {"verificationSubmitted":{"team":{"position":1,"members":[{"discordID":"196901285071552513","discordName":"vngchrome","verificationLinks":{"1":"https://cdn.discordapp.com/ephemeral-attachments/1285696322900463699/1285702095764455425/Screenshot_2024-09-07_170020.png?ex=66eb3ae2&is=66e9e962&hm=f4f437abd14171013c0106e5231e037beb68e37d631813f846dbdf4fab385a75&"}}]},"member":"vngchrome","position":"1","imageUrl":"https://cdn.discordapp.com/ephemeral-attachments/1285696322900463699/1285702095764455425/Screenshot_2024-09-07_170020.png?ex=66eb3ae2&is=66e9e962&hm=f4f437abd14171013c0106e5231e037beb68e37d631813f846dbdf4fab385a75&"}}
[2024-09-17T20:41:08.074Z] User: vngchrome (ID: 196901285071552513) | Command: submitverification | Result: Success
[2024-09-17T20:44:51.576Z] User: vngchrome (ID: 196901285071552513) | Command: rolldice | Result: Success
[2024-09-17T20:45:00.414Z] User: vngchrome (ID: 196901285071552513) | Command: rolldice | Result: Success
[2024-09-17T20:47:39.924Z] User: vngchrome (ID: 196901285071552513) | Command: rolldice | Result: Success
[2024-09-17T20:47:39.930Z] User: vngchrome (ID: 196901285071552513) | Command: rolldice | Started on: 1, Rolled: 3, Landed on: 4
